,month,Daily Average POA Irradiance (kWh/m2/day),DC Array Output (kWh),AC System Output (kWh),location,latitude,longitude,month_long,Portugal,excess_kwh,bitcoin_earnings,bitcoin_earnings_usd,to_grid,difference,bitcoin_earnings_eur
0,1,3.038,320.077,303.968,Lisbon,38.73,-9.14,Jan,330,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3.828,361.12,343.923,Lisbon,38.73,-9.14,Feb,310,51.120000000000005,9.714824951627172e-05,4.342750588084917,2.0448000000000004,1.8011399208080028,3.845939920808003
2,3,5.087,526.061,501.616,Lisbon,38.73,-9.14,Mar,290,236.06100000000004,0.0004124994611386831,24.855426783588513,9.442440000000001,12.569525959545988,22.01196595954599
3,4,6.038,593.451,566.425,Lisbon,38.73,-9.14,Apr,270,323.451,0.0005424111296342676,36.72523451425555,12.93804,19.58582768582471,32.52386768582471
4,5,6.791,684.574,653.497,Lisbon,38.73,-9.14,May,260,424.57399999999996,0.0006944314604509323,44.55340560691993,16.98296,22.473536005488292,39.45649600548829
5,6,7.425,716.44,684.395,Lisbon,38.73,-9.14,Jun,280,436.44000000000005,0.0007319803303089978,49.293946722965444,17.457600000000003,26.197119217858198,43.6547192178582
6,7,8.085,792.642,757.675,Lisbon,38.73,-9.14,Jul,330,462.64200000000005,0.0007917457037889509,49.444916239410496,18.50568,25.28273782162194,43.78841782162194
7,8,7.702,761.024,727.437,Lisbon,38.73,-9.14,Aug,350,411.024,0.0006736926312045268,41.87017720564303,16.44096,20.63926893331747,37.08022893331747
8,9,6.377,611.853,584.53,Lisbon,38.73,-9.14,Sep,300,311.85299999999995,0.0004909192166367351,29.158094900394666,12.47412,13.348288843789518,25.822408843789518
9,10,4.622,472.337,450.236,Lisbon,38.73,-9.14,Out,280,192.337,0.0002982628752198514,18.802430432984316,7.69348,8.95795239145091,16.65143239145091
10,11,3.123,318.454,302.77,Lisbon,38.73,-9.14,Nov,300,18.454000000000008,2.668241839758363e-05,1.9926596287090637,0.7381600000000004,1.0265393671847465,1.7646993671847468
11,12,2.491,264.911,251.193,Lisbon,38.73,-9.14,Dec,330,0.0,0.0,0.0,0.0,0.0,0.0
